"Text","doc_id"
"dentistry one profession require high practical prowess also moral ethical standard","1"
"several factor make dentist good professional believe one important thing professional independent proficient job","2"
"word professional consistent punctual","3"
"addition important follow rule regulation prevent reckless nefarious malpractice","4"
"however mean one stagnant passive profession","5"
"rather believe important professional actively seek improvement advancement","6"
"can achieve work discuss research issue different professional various different field profession","7"
"moreover important professional appropriate moral ethical standard","8"
"believe factor crucial become good professional","9"
"ever since realize dentistry one profession seamlessly blend artistry science fascinate","10"
"thus natural vast interest become orthodontist","11"
"however like expose various different dental specialty school curriculum also community outreach volunteer service","12"
"dental student like graduate dental school good stand proficiency general dentistry","13"
"health care professional like learn technical skill also interpersonal skill fulfill relationship various different patient","14"
"realize skill require uphold ethical principle good rule regulation time","15"
"moreover hope openminded bold make decision","16"
"addition like good lifelong relationship peer private professional environment","17"
"go have have feel like night day","18"
"have start similar have term course load simulation lab requirement","19"
"however february come feel like neverending parade competency practical exam","20"
"feel like knowledge base grow significantly","21"
"especially like simulation lab course cr cr learn complex tooth preparation restoration good properly produce cd good various rpds","22"
"course have year feel drill restorative ability continue significantly improve especially point feel comfortable utilize technique future patient","23"
"excite good nervous enter clinic feel will fun challenge","24"
"knowledge gain first year will definitely build block future course hopefully will stick wait take nbde august","25"
"public statement say want fix people face","26"
"know sound kind vague havent find good way express just yet mean fix whatever facial deformity defect present","27"
"predental society undergrad dental health professional speak every week remember one particular photo people wear facial prosthetic cover essentially part face jaw miss","28"
"time think fact prosthodontist make something give patient wear amaze","29"
"really want go one step beyond make wear prosthetic unnecessary","30"
"facial reconstruction think cool thing","31"
"know think lean heavily toward oms big hospital surgery rather prefer private practice","32"
"talk improve quality life believe great way increase path","33"
"undergrad human biology major also minored philosophy","34"
"one particular article stick mind whenever think professionalism mean","35"
"article talk civic professionalism inherent contract trust public professional","36"
"moreover professional give back community without community provide patient learn craft","37"
"think progress throughout dental school will become relevant know whatever opportunity give back community outreach will try good make happen","38"
"whats point skill do try use promote great degree quality life can","39"
"journey dental school leave numb experience shape type dentist want also view relationship one oral health quality life","40"
"ive work dental professional around unite state mexico australia strong sense want get dentistry simply want able fix people face","41"
"person face important feature give selfconfidence go interact world","42"
"now path aim mine take do know know throughout pitfall ive overcome will lose sight goal","43"
"feel privilege apart great profession","44"
"many decision will lead dilemma future want practice honest way","45"
"know isnt much room procrastinate dental school go try study go note every day semester","46"
"ive hear pull allnighters good idea remind become lazy","47"
"want develop regular sleep pattern can go class use time wisely awake","48"
"little stress go face next four year feel responsibility learn now","49"
"think good little bite stress study participate lab will try overwhelm","50"
"will start clinic couple month really want someone can truly sympathize patient","51"
"will try good competent dentist","52"
"year learn much yet know theres come","53"
"just hope can bare workload","54"
"choose become dentist even start undergrad happy","55"
"finally stage get learn practical knowledge nyucd feel responsible understand apply knowledge","56"
"information receive lecture lab will essential future practice just want keep workload","57"
"interest go pediatric dentistry will try really hard get want","58"
"love school diverse student body hope can make lot friend","59"
"pretty excite start new phase life just want make","60"
"patient care always practitioner numb one priority","61"
"financial gain never drive force practitioner service","62"
"competent one field also mean know seek help practitioner","63"
"professional individual practice profession workplace profession way life","64"
"follow set role ethic will oblige betterment community","65"
"hope acquire knowledge become dental practitioner also gain skill set will allow become competent professional","66"
"furthermore like grow ethical individual able provide care community use acquire knowledge dental field","67"
"hope continue education post dental school stay current approach","68"
"person smile arguably important feature","69"
"way express happiness show kindness ability improve one even someone elses mood","70"
"believe dentist give someone confidence great smile highly reward satisfy job hope become competent next four year","71"
"include complete course work also push study learn outside boundary curriculum become health care professional able cooperate coordinate other","72"
"one thing learn dental school get put want put good effort","73"
"hope become dentist influence large confine office highly involve local regional outreach program","74"
"road towards become professional never end one","75"
"think will always find road look towards become good professional yesterday","76"
"word professional contain many principle inside begin 3 year will get live principle every day base","77"
"perceive professional progress putting behind fear trust professional knowledge","78"
"see first time grab hand piece class restoration","79"
"ethic integrity dental profession major issue","80"
"public unfortunately continue sensitive professional care people need misuse healthcare payment system overcharge provide care personal benefit patient benefit","81"
"healthcare field include dentistry high accreditation standard education ethic implement","82"
"professional healthcare provider isnt just someone provide treatment someone understand exhibit importance build genuine relationship patient community colleague","83"
"wide range reason people choose go healthcare find personal passion serve contribute can offer drive become competent provider","84"
"simply just love help other way possible good skill set stem manual dexterity","85"
"serve even peer bring joy will continue strive good seek much wisdom advice provide good quality care","86"
"firm believer care other generous compassionate heart","87"
"reward give heart expect something return","88"
"come far still long road ahead become professional expect","89"
"faith patience perseverance will happen little little","90"
"ethic competency really get think handle situation may come clinic","91"
"exam deal student need credit patient comply plaque control patient refuse comply","92"
"dilema let someone else clean tooth professionally patient come appear persuade","93"
"certainly go stressful time clinic credit complete treatment versus wellbeing patient cause ethical dilemma","94"
"think will put patient first","95"
"little nerveracking enter clinic deal real patient","96"
"need sure put patient first anything compromise health stay late study early appointment wouldnt fully alert perform operation","97"
"dental school grueling process year","98"
"excite near enter clinic able put didactic skill use diagnose recognize different oral disease","99"
"also excite able apply hand skill learn real patient","100"
