X1,NETID,RefType,Date,Time,Text,DYear
1,Q3KOrarY,Professional Progress,03-06-14 0:12,0.2,"After my first year of dental school, I have definitely learned how to interact and collaborate with my peers in terms of studying, working on projects together, and helping each other out in lab. Communication is definitely important in terms of speaking with your colleagues and patients. I have also learned how to prepare and restore certain ideal preparations on plastic teeth in mannequin typodonts. I have become competent in performing these procedures and look forward to learning more complex procedures as well as working on real life patients. I have also learned about the anatomy of the entire body, specifically focused on the head and neck, as well as how various systems interact with each other. In this way, I am better prepared to work on patients, knowing what to avoid and any possible side effects that can occur with certain anesthesia.",D1L
2,QRWhtutX,Private Personal,29-06-14 0:37,0.616666667,"I hope to work not just hard but smart and produce the results necessary to have multiple options ready when I graduate. Currently I am really interested in the field of pediatrics so I want to put myself in the position to learn as much as I can about the field and make sure when I do make a decision that it is an informed one.

While my passion in pediatrics grows from partaking in in-reach and out-reach events at NYUCD, I want to also explore other specialties so I can become a wholesome in my dental knowledge and ideals.",D1L
3,QRWhtutX,Public Personal,29-06-14 0:36,0.6,"I hope to become competent enough that when I graduate my friends, peers, and instructors will fully trust me to perform dentistry on them if need be. I hope to at least maintain the passion I had for this field when I walked to my first class this year and hopefully expand that passion when I graduate. I want to work  hard and to always be humble of the fact that I should never be satisfied with my level of competence in dentistry. As long as I keep learning I know I will be more competent than yesterday but not as competent as I can be tomorrow. Areas that I need to work on is to be less stubborn, to be more open minded, and I need to be organized with my clinics and lab from the get go to not get messy habits. As well I want to present myself in a more professional manner to my patients as I am a representative of this school and my professional profession.",D1L
4,Rgwz95M=,Professional Progress,02-06-14 23:23,23.38333333,"I feel that I have learnt quite a bit of information over the course of my D1 year.  When I came to NYUCD I thought that I had a basic understanding of what dentistry entailed, but I quickly came to realize that my understanding was only at the tip of the iceberg.  I remember the first time I picked up a drill and had to carve out patterns in the stone panels and how poorly I controlled the drill; it was definitely a lot harder than it first appeared to be.  Over the course of the D1 year, I feel that I have significantly improved my drilling abilities, and have also cut down on the amount of time it takes me to complete an assignment.  The knowledge that I gained from my first year will definitely be a building block for my future courses and hopefully will stick with me as I wait to take the NBDE I in August 2015.",D1L
5,RJvUP4aC,Private Personal,24-06-14 1:29,1.483333333,"Growing up, my dentist was the most influential on my image of dentistry. My interactions with her and her comforting approach to treatment defined what I thought of dentistry and how I still describe it to this very day. I loved how she would talk to me about school, sports, and tv shows before ever asking me to open my mouth. I knew I was more than a set of teeth and more than a name on a chart. I look forward to providing my future patients with a similar experience. I am looking forward to developing the knowledge and skills necessary to assure my patients that they are receiving the best quality of care.  
                        Throughout these next few years, I envision myself being molded into a competent healthcare provider. I hope to build professional relationships with my colleagues and faculty. My time at NYUCD is an opportunity for me to best prepare for the demands of dentistry and the needs of my patients. Dentistry is an evolving field and I am excited to be a part of what it will have to offer in the near coming future.",D1L
6,RJvUP4aC,Public Self Reflection,24-06-14 1:36,1.6,"The term ""professional"" is thrown around a lot in conversation. We may declare someone as a 'professional hockey player' or a 'professional stone carver.' The word professional carries value and a sense of higher standard. What we expect from a professional is expertise and reassurance that the work or role being fulfilled will be of the highest quality. When I hear the word ""dental professional,"" I imagine someone that is looked upon by the general public as a trusted figure to provide the utmost quality of care and treatment. A professional is a person that has received a structured education and/or discipline that pertains specifically to that profession. The individual is accepted as one that has proven his/her competence in the demands of that field. 
      While a student at NYUCD, I would like to imagine myself approach these definitions of a professional as I progress through the tiers of dental school. I am excited to be an important and dynamic influence on my patient's lives and serve as a vital component in their path to a healthy lifestyle.",D1L
7,RJvUP4aC,Public Personal,24-06-14 1:29,1.483333333,"Growing up, my dentist was the most influential on my image of dentistry. My interactions with her and her comforting approach to treatment defined what I thought of dentistry and how I still describe it until this very day. I loved how she would talk to me about school, sports, and tv shows before ever asking me to open my mouth. I knew I was more than a set of teeth and more than a name on a chart. I look forward to providing my future patients with a similar experience. I am looking forward to developing the knowledge and skills necessary to assure my patients that they are receiving the best quality of care.  
                        Throughout these next few years, I envision myself being molded into a competent healthcare provider. I hope to build professional relationships with my colleagues and faculty. My time at NYUCD is an opportunity for me to best prepare for the demands of dentistry and the needs of my patients. Dentistry is an evolving field and I am excited to be a part of what it will have to offer in the near coming future.",D1L
8,USOSSVQW,Ethic Reflection,03-06-14 8:33,8.55,"Many decisions will lead to dilemmas in the future, but I want to practice in an honest way.",D1L
9,USOSSVQW,Private Personal,12-05-14 19:00,19,"I know that there isn't much room to procrastinate in dental school, so I am going to try to study and go over the notes every day this semester. I've heard that pulling all-nighters is not a good idea, so I should remind myself not to become lazy. I want to develop a regular sleeping pattern so that I can go to classes and use my time wisely when I am awake. I am a little stressed about what I am going to face over the next four years, but I feel more responsibility in what I learn and do now. I think it's good to have a little bit of stress as I study and participate in labs, but I will try not to be too overwhelmed.",D1L
10,USOSSVQW,Private Self Reflection,03-06-14 8:32,8.533333333,"I will be starting clinics in couple months, and I really want to be someone who can truly sympathize with his patients.",D1L
11,USOSSVQW,Public Self Reflection,03-06-14 8:32,8.533333333,I will try my best to be a competent dentist.,D1L
12,USOSSVQW,Professional Progress,03-06-14 8:33,8.55,"This year I have learned so much, yet I know that there's more to come. I just hope that I can bare with all the workload.",D1L
13,USOSSVQW,Public Personal,12-05-14 19:00,19,"I chose to become a dentist even before I started my undergrad, and I am very happy to be here. I am finally at a stage where I get to learn the ""practical"" knowledge here at NYUCD, and I feel more responsible for understanding and applying the knowledge. All the information I receive in lectures and labs will be essential for my future practice, and I just want to keep up with the workload. I am interested in going into pediatric dentistry, so I will have to try really hard to get where I want to be. I love how our school has a very diverse student body, and I hope I can make a lot of friends. I am pretty excited to start a new phase in my life, and I just want to make the most out of it.",D1L
1,QQZpQXEE,Ethic Reflection,01-06-14 19:57,19.95,"I feel as though I have grown as an ethical being in both taking Professionalism and Ethics and in interacting with my colleagues and professors. I have learned about various ethical dilemmas I may be faced with, such as having to decide what treatment to plan for a patient, taking into account their needs while how it will simultaneously aid my business. No matter what, I have learned that putting the patients needs first is the way to sustain a life-long patient base who knows they can trust me and my care.",D1L
2,QQZpQXEE,Public Self Reflection,30-05-14 17:42,17.7,"Now that the year is over and I have had the time to reflect on this experience I feel as though I have grown as a professional and have better learned how to interact with colleagues in a respectful, professional manner. I am pleased with how my studies have gone and have been able to well balance studying with free time. I hope I can keep the same positive energy in matriculating to D2 and aim to spend more time in the lab working on my technique as it applies to the various dental procedures we will learn.",D1L
3,QQZpQXEE,Professional Progress,01-06-14 20:08,20.13333333,"Although I have much more growth to achieve within the next few years, I feel as though I have made progress in becoming more professional. In pre-clinical lab I have had the experience with working alongside my colleagues and have both given and received help from them. I have enjoyed being able to take instruction from professors who have had much experience in the field. As I see the progress I make with each preparation and restoration I get excited for the future progress I will make with more practice in the pre-clinic.",D1L
4,QRN/WS47,Ethic Reflection,06-06-14 14:33,14.55,"While we haven't yet gotten to make actual decisions regarding patients, the ethics course we took gave me a solid background and got me thinking deeply about how it is always important to be as ethical as possible and not make treatment decisions on personal gain or ease.",D1L
5,QRN/WS47,Private Self Reflection,06-06-14 14:32,14.53333333,"While learning to be a professional is exciting, it also is fairly intimidating knowing that in 3 short years, I'll be out in the real world and have little guidance other than my educational background when coming up with treatment options.",D1L
6,QRN/WS47,Public Self Reflection,06-06-14 14:32,14.53333333,I think becoming a professional is an exciting but daunting point in my life.  I am excited to be someone that others trust with their oral health and hope I learn enough to do the best job possible in my treatment plans.  Becoming a professional also means taking on a great amount of responsibility because decisions need to be made in the best interest of the patient and it takes a certain humbleness to know when you aren't the best doctor for the patients needs and be able to refer them out.,D1L
7,QRN/WS47,Professional Progress,06-06-14 14:35,14.58333333,"The first year of school flew by and I'm not a quarter of the way to being a licensed professional.  It's exciting and intimidating at the same time, but I feel like I am building a great foundation academically and in pre-clinic labs.",D1L
