"Text","doc_id"
"sternbergs triangular theory love state passion commitment intimacy consummate love attainable","1"
"belief integrate three component guide value will ultimately lead idea consummate life triangular theory success","2"
"indeed journey dental student lead believe consummate life","3"
"dentist woman yearn continue dental career within triangular theory success satiate passion dental discipline commit healthcare profession build intimate bond patient","4"
"believe reach perfection unattainable something truly consummate dedicate something love develop wisdom need treat patient different need challenge","5"
"first year dental student far difficult also reward one give validation love field","6"
"midway semester give birth beautiful baby girl become reminder go school fulfill dream also fulfill","7"
"thankfully complication manage maintain prepartum schedule fulltime mom","8"
"balance student wife mother help fully understand power call","9"
"back love nurture family inspire dedicate career give tool versatile woman","10"
"know back still long road ahead nothing stop reach goal","11"
"along academic road enter clinic experience mark profoundly individual dental practitioner","12"
"treat patient cement desire become dentist practice come comprehend devotion work care people","13"
"patient place trust see give confidence need serve great motivator","14"
"needless say immensely excite take book wisdom apply actual people","15"
"begin hand work able apply unique skill dental artistry","16"
"patient begin refer friend family member realize patient faith witness high quality work","17"
"four year pass since enter dental school record time show dedication put education however time much study","18"
"four year transition woman today learn juggle wife mother student work woman","19"
"perseverance determination strong moment inner struggle almost get good","20"
"wasnt easy putting focus career people depend plenty sleepless night disappointment learn journey nothing worth fight easy","21"
"come know capable ultimately resiliency determinant outcome life career","22"
"completely resolute dental practitioner help people accomplish revolutionize thing within field look back journey realize acquire passion commitment intimacy within concentration say attain idea consummate life","23"
"health care professional duty ethical action interaction","24"
"treat patient will learn community around can culturally sensitive empathetic","25"
"will also stick code ethic will hold","26"
"will include putting patient desire health oral health personal desire","27"
"will always provide patient option may able make good decision oral health base limitation understand","28"
"will always document procedure important event occur patient visit can legally protect work document future review","29"
"will never discriminate will serve equally regardless ethnicity gender faith sexual orientation etc take consideration various culture belief patient sensitive understand","30"
"dental student will strive learn various oral health disease symptom good different method improve oral hygiene","31"
"will also learn process behind disease treat","32"
"clinic will learn characteristic tooth restore via crown filling root canal remove caries make complete partial denture create model impression study patient mouth prepare crown retainer","33"
"will also learn interact patient term explain procedure word can understand manner respectful empathetic ethical way putting patient health want personal desire","34"
"finally hope learn colleague practice communicate work together help return","35"
"believe environment everyone honest work together team end benefit work good patient treat","36"
"personally professional hope can possibly specialize area orthodontics pediatrics periodontics endodontics","37"
"however will limit specialty will explore area specialty","38"
"will also satisfy general dentist good","39"
"ultimately though depend find enjoy","40"
"also like open clinic less clinic another associate especially ease accessibility another dentist opinion","41"
"finally will strive treat patient respect colleague gratification respect","42"
"will try patient patient can difficult communicate patient may different ideology","43"
"will make sure aware various cultural belief sensitive time mindful make multitude identity","44"
"become health professional hope provide patient good care can possibly give","45"
"include continue education go convention conference learn date technology oral hygiene","46"
"will also constantly challenge good work selfassessing often check past work see anything redo","47"
"professional will strive clear concise communication patient colleague","48"
"will also attempt ensure patient understand importance oral hygiene overall health various way can take care tooth health","49"
"even patient difficulty practice want make sure give information knowledge can make autonomous decision dental health","50"
