"Text","doc_id"
"ethic will base practice","1"
"deliver good possible care ethical time intend base practice","2"
"see many patient horrible dental work do unfortunate dentist continue practice like","3"
"do believe ethical practice like","4"
"patient come trust us something precious need uphold value ethic","5"
"option need discuss patient need understand good ability","6"
"sternbergs triangular theory love state passion commitment intimacy consummate love attainable","7"
"belief integrate three component guide value will ultimately lead idea consummate life triangular theory success","8"
"indeed journey dental student lead believe consummate life","9"
"dentist woman yearn continue dental career within triangular theory success satiate passion dental discipline commit healthcare profession build intimate bond patient","10"
"believe reach perfection unattainable something truly consummate dedicate something love develop wisdom need treat patient different need challenge","11"
"first year dental student far difficult also reward one give validation love field","12"
"midway semester give birth beautiful baby girl become reminder go school fulfill dream also fulfill","13"
"thankfully complication manage maintain prepartum schedule fulltime mom","14"
"balance student wife mother help fully understand power call","15"
"back love nurture family inspire dedicate career give tool versatile woman","16"
"know back still long road ahead nothing stop reach goal","17"
"along academic road enter clinic experience mark profoundly individual dental practitioner","18"
"treat patient cement desire become dentist practice come comprehend devotion work care people","19"
"patient place trust see give confidence need serve great motivator","20"
"needless say immensely excite take book wisdom apply actual people","21"
"begin hand work able apply unique skill dental artistry","22"
"patient begin refer friend family member realize patient faith witness high quality work","23"
"four year pass since enter dental school record time show dedication put education however time much study","24"
"four year transition woman today learn juggle wife mother student work woman","25"
"perseverance determination strong moment inner struggle almost get good","26"
"wasnt easy putting focus career people depend plenty sleepless night disappointment learn journey nothing worth fight easy","27"
"come know capable ultimately resiliency determinant outcome life career","28"
"completely resolute dental practitioner help people accomplish revolutionize thing within field look back journey realize acquire passion commitment intimacy within concentration say attain idea consummate life","29"
"definition professional","30"
"accord merriam webster characterize conform technical ethical standard profession exhibit courteous conscientious generally businesslike manner workplace","31"
"believe professional also take responsibility action","32"
"example miss peer assessment meet last week september due twoyearold child ill","33"
"need prioritize important wellbeing child attend peer assessment meet","34"
"course choose child believe mother","35"
"email instructor explain situation make absence way can","36"
"professional also encompass competency knowledge respect honesty integrity","37"
"become competent take year experience","38"
"learn turn problem solution","39"
"also never stop build knowledge can always improve skill","40"
"always respectful characterize person professional","41"
"honesty integrity believe utmost importance way build trustful relationship","42"
"get implement professional clinic work patient","43"
"patient place trust see give confidence need serve great motivator","44"
"needless say immensely excite take book wisdom apply actual people","45"
"begin hand work able apply unique skill dental artistry","46"
