X1,NETID,RefType,Date,Time,Text,DYear
1,Q2a1zJef,Ethic Reflection,05-06-16 14:39,14.65,Ethics will be the base of how I practice.  Delivering the best possible care while being ethical at the same time is how I intend to practice. on which I base my practice.,D3L
2,Q2a1zJef,Private Personal,20-03-16 14:49,14.81666667,"For the next four years, I want to grow as an individual.  I want to become a professional.  I have been around the dental field for the past few years, working in a dental office as a dental assistant.  I want to transition from being a dental assistant to a dentist.  I hope once I finish my four years at NYU I will be a confident and ethical doctor.  I find it so important to establish trusting relationship with patients, and the first thing is to do everything in the best interest of the patient.",D3L
3,Q2a1zJef,Private Self Reflection,05-06-16 14:39,14.65,"Becoming a professional I believe takes time.  You need to be exposed to situations where you need to interact with other professionals and learn from them.  I believe you never stop learning to become a professional, it is a lifelong process.",D3L
4,Q2a1zJef,Public Self Reflection,05-06-16 14:38,14.63333333,"Becoming a professional I believe takes time.  You need to be exposed to situations where you need to interact with other professionals and learn from them.  I believe you never stop learning to become a professional, it is a lifelong process.",D3L
5,Q2a1zJef,Professional Progress,05-06-16 14:39,14.65,"Beginning of my dental career two years ago, I have come a long way so far. I have gained so many skills, interpersonally, socially, and most importantly with manual dexterity. I am looking forward in applying all those skills and I am eager to learn more in my next two years in NYUCD.",D3L
6,Q2a1zJef,Public Personal,05-06-16 14:38,14.63333333,"For the next four years, I want to grow as an individual.  I want to become a professional.  I have been around the dental field for the past few years, working in a dental office as a dental assistant.  I want to transition from being a dental assistant to a dentist.  I hope once I finish my four years at NYU I will be a confident and ethical doctor.  I find it so important to establish trusting relationship with patients, and the first thing is to do everything in the best interest of the patient.",D3L
7,Q3KOrarY,Ethic Reflection,03-06-16 22:55,22.91666667,"As a health care professional, it is my duty to be ethical in all my actions and interactions. In treating patients, I will learn about the community around me so that I can be culturally sensitive and empathetic. I will also stick to a code of ethics that I will hold myself to. These will include putting my patient's desires, and health and oral health above my own personal desires. I will always provide my patients with all their options so that they may be able to make the best decision for their oral health based on their limitations and their understanding. I will always document my procedures and any important events that occur during my patient's visit, so that I can legally protect myself and themselves, and so that the work is documented for future review. I will  never discriminate and will serve all equally, regardless of ethnicity, gender, faith, sexual orientation, etc., taking into consideration the various cultures and beliefs of my patients and being sensitive and understanding of them.",D3L
8,Q3KOrarY,Private Personal,03-06-16 22:55,22.91666667,"As a dental student, I will strive to learn about various oral health diseases and their symptoms, as well as different methods to improve oral hygiene. I will also learn the processes behind these diseases, and how to treat them. In the clinic, I will learn about the characteristics of each teeth, how to restore them via crowns, fillings, or root canals, how to remove caries, how to make complete and partial dentures and how to create models and impressions for studying a patient's mouth or for preparing crowns or retainers. I will also learn how to interact with patients in terms of explaining procedures to them in words they can understand, in a manner that is respectful, and in a empathetic and ethical way (putting the patient's health and wants above my own personal desires). Finally, I hope to learn from my colleagues and practice communicating and working together with them, while helping them in return. I believe that an environment in which everyone is honest and working together as a team ends up benefitting both those working as well as the patients being treated.",D3L
9,Q3KOrarY,Private Self Reflection,03-06-16 22:55,22.91666667,"Personally, as a professional I hope that I can possibly specialize in an area such as orthodontics, pediatrics, periodontics, or endodontics. However I will not limit myself to these specialties and I will explore other areas of specialty. I will also be satisfied with being a general dentist as well. Ultimately though, it depends on what I find I enjoy the most. I would also like to open my own clinic or at least have a clinic with another associate, especially because of the ease of accessibility to another dentist's opinion. Finally, I will strive to treat all my patients with respect, and all my colleagues with gratification and respect. I will try to be patient with patients that can be difficult to communicate with or patients who may have different ideologies than myself. I will make sure I am aware of various cultural beliefs and be sensitive to those and at the same time, be mindful that we are made up of a multitude of identities.",D3L
10,Q3KOrarY,Public Self Reflection,03-06-16 22:55,22.91666667,"In becoming a health professional, I hope to provide my patients with the best care I can possibly give. That includes continuing my education by going to conventions and conferences to learn about the most up to date technologies for oral hygiene. I will also constantly challenge myself to better my work, by self-assessing myself often and checking on past work to see if anything should be redone. As a professional, I will strive for clear and concise communication with the patient and with my colleagues. I will also attempt to ensure that all my patients understand the importance of oral hygiene to overall health and the various ways they can take care of their teeth and health. Even if my patients have difficulty practicing this, I want to make sure I give them all the information and knowledge so that they can make their own autonomous decision about their dental health.",D3L
