"Text","doc_id"
"ethic will base practice","1"
"deliver good possible care ethical time intend practice base practice","2"
"next four year want grow individual","3"
"want become professional","4"
"around dental field past year work dental office dental assistant","5"
"want transition dental assistant dentist","6"
"hope finish four year nyu will confident ethical doctor","7"
"find important establish trust relationship patient first thing everything good interest patient","8"
"become professional believe take time","9"
"need expose situation need interact professional learn","10"
"believe never stop learn become professional lifelong process","11"
"become professional believe take time","12"
"need expose situation need interact professional learn","13"
"believe never stop learn become professional lifelong process","14"
"begin dental career two year ago come long way far","15"
"gain many skill interpersonally socially importantly manual dexterity","16"
"look forward apply skill eager learn next two year nyucd","17"
"next four year want grow individual","18"
"want become professional","19"
"around dental field past year work dental office dental assistant","20"
"want transition dental assistant dentist","21"
"hope finish four year nyu will confident ethical doctor","22"
"find important establish trust relationship patient first thing everything good interest patient","23"
"health care professional duty ethical action interaction","24"
"treat patient will learn community around can culturally sensitive empathetic","25"
"will also stick code ethic will hold","26"
"will include putting patient desire health oral health personal desire","27"
"will always provide patient option may able make good decision oral health base limitation understand","28"
"will always document procedure important event occur patient visit can legally protect work document future review","29"
"will never discriminate will serve equally regardless ethnicity gender faith sexual orientation etc","30"
"dental student will strive learn various oral health disease symptom good different method improve oral hygiene","31"
"will also learn process behind disease treat","32"
"clinic will learn characteristic tooth restore via crown filling root canal remove caries make complete partial denture create model impression study patient mouth prepare crown retainer","33"
"will also learn interact patient term explain procedure word can understand manner respectful empathetic ethical way putting patient health want personal desire","34"
"finally hope learn colleague practice communicate work together","35"
"believe environment everyone honest work together team end benefit work good patient treat","36"
"personally professional hope can possibly specialize area orthodontics pediatrics periodontics endodontics","37"
"however will limit specialty will explore area specialty","38"
"will also satisfy general dentist good","39"
"ultimately though depend find enjoy","40"
"also like open clinic less clinic another associate especially ease accessibility another dentist opinion","41"
"finally will strive treat patient respect colleague gratification respect","42"
"will try patient patient can difficult communicate patient may different ideology","43"
"will never discriminate will serve equally regardless ethnicity gender faith sexual orientation etc","44"
"become health professional hope provide patient good care can possibly give","45"
"include continue education go convention conference learn date technology oral hygiene","46"
"will also constantly challenge good work selfassessing often check past work see anything redo","47"
"professional will strive clear concise communication patient colleague","48"
"will also attempt ensure patient understand importance oral hygiene overall health various way can take care tooth health","49"
"even patient difficulty practice want make sure give information knowledge can make autonomous decision dental health","50"
"2 year dental school enter 3 year ive learn much oral cavity can reflect disease body oral cavity can affect change occur patient body","51"
"ive learn work another student dental assistant vice versa learn team effort","52"
"ive learn step process need create complete removable partial denture","53"
"ive also learn prepare crown bridge good make temporary crown bridge","54"
"ive learn interact patient now clinic start understand communicate patient way show professionalism competence still student school","55"
"also learn give local anesthesia patient form nerve block infiltration perform comprehensive exam xray prophylaxis scale root plane simple restoration","56"
"still yet perform endodontics prosthodontics yet aim soon","57"
"dental student will strive learn good serve patient community around various community around country world","58"
"specifically will become knowledgeable cause symptom dental disease good full body disease especially can become evident oral cavity","59"
"will learn treat patient shortterm longterm capacity","60"
"will also strive treat patient respect sympathy ethically","61"
"will always put patient health desire personal gain will sure refer patient doctor dentist feel able complete procedure","62"
"will practice communication skill honest patient","63"
"will practice skill competent able serve other good","64"
"strive continue learn new method technique technology appropriate good able treat patient","65"
"far time clinic have tremendous learn experience good lot fun","66"
"finally get apply knowledge ive gain have have year good gain new knowledge tipstricks d various faculty","67"
"first start clinic nervous unsure able deal treat patient","68"
"now clinic just month feel comfortable competent ability","69"
"majority treatment date srps feel like know efficiently properly complete procedure","70"
"also already complete srp competency successfully pass","71"
"also get confident steady term deliver la patient vs first start clinic","72"
"also complete nbde part august currently await result arise next week two hope pass exam","73"
"grow dentist influential definition dentistry","74"
"interaction comfort approach treatment define think dentistry still describe day","75"
"love talk school sport tv show ever ask open mouth","76"
"know set tooth name chart","77"
"look forward provide future patient similar experience","78"
"look forward develop knowledge skill necessary assure patient receive good quality care","79"
"throughout next year envision mold competent healthcare provider","80"
"hope build professional relationship colleague faculty","81"
"time nyucd opportunity good prepare demand dentistry need patient","82"
"dentistry evolve field excite part will offer near come future","83"
"term professional throw around lot everyday conversation","84"
"may declare someone professional hockey player professional stone carver","85"
"word professional carry value sense high standard","86"
"expect professional expertise reassurance work role fulfill will high quality","87"
"hear word dental professional imagine someone look upon general public trust figure provide utmost quality care treatment","88"
"professional person receive structure education andor discipline pertain specifically profession","89"
"individual accept one prove hisher competence demand field","90"
"student nyucd like imagine approach definition professional progress tier dental school","91"
"excite important dynamic influence patient life serve vital component path healthy lifestyle","92"
"great privilege trust individual society look upon symbol wellbeing","93"
"term professional throw around lot conversation","94"
"may declare someone professional hockey player professional stone carver","95"
"word professional carry value sense high standard","96"
"expect professional expertise reassurance work role fulfill will high quality","97"
"hear word dental professional imagine someone look upon general public trust figure provide utmost quality care treatment","98"
"professional person receive structure education andor discipline pertain specifically profession","99"
"individual accept one prove hisher competence demand field","100"
"student nyucd like imagine approach definition professional progress tier dental school","101"
"excite important dynamic influence patient life serve vital component path healthy lifestyle","102"
"grow dentist influential definition dentistry","103"
"interaction comfort approach treatment define think dentistry still describe day","104"
"love talk school sport tv show ever ask open mouth","105"
"know set tooth name chart","106"
"look forward provide future patient similar experience","107"
