"Text","doc_id"
"first year dental school definitely learn interact collaborate peer term study work project together help lab","1"
"communication definitely important term speak colleague patient","2"
"also learn prepare restore certain ideal preparation plastic tooth mannequin typodonts","3"
"become competent perform procedure look forward learn complex procedure good work real life patient","4"
"also learn anatomy entire body specifically focus head neck good various system interact","5"
"way good prepare work patient know avoid possible side effect can occur certain anesthesia","6"
"hope work just hard smart produce result necessary multiple option ready graduate","7"
"currently really interest field pediatrics want put position learn much can field make sure make decision inform one","8"
"passion pediatrics grow partake inreach outreach event nyucd want also explore specialty can become wholesome dental knowledge ideal","9"
"hope become competent enough graduate friend peer instructor will fully trust perform dentistry need","10"
"hope less maintain passion field walk first class year hopefully expand passion graduate","11"
"want work hard always humble fact never satisfy level competence dentistry","12"
"long keep learn know will competent yesterday competent can tomorrow","13"
"area need work little stubborn open mind need organize clinic lab get go get messy habit","14"
"good want present professional manner patient representative school professional profession","15"
"feel learn quite bite information course have year","16"
"come nyucd think basic understand dentistry entail quickly come realize understand tip iceberg","17"
"remember first time pick drill carve pattern stone panel poorly control drill definitely lot hard first appear","18"
"course have year feel significantly improve drill ability also cut amount time take complete assignment","19"
"knowledge gain first year will definitely build block future course hopefully will stick wait take nbde august","20"
"grow dentist influential image dentistry","21"
"interaction comfort approach treatment define think dentistry still describe day","22"
"love talk school sport tv show ever ask open mouth","23"
"know set tooth name chart","24"
"look forward provide future patient similar experience","25"
"look forward develop knowledge skill necessary assure patient receive good quality care","26"
"throughout next year envision mold competent healthcare provider","27"
"hope build professional relationship colleague faculty","28"
"time nyucd opportunity good prepare demand dentistry need patient","29"
"dentistry evolve field excite part will offer near come future","30"
"term professional throw around lot conversation","31"
"may declare someone professional hockey player professional stone carver","32"
"word professional carry value sense high standard","33"
"expect professional expertise reassurance work role fulfill will high quality","34"
"hear word dental professional imagine someone look upon general public trust figure provide utmost quality care treatment","35"
"professional person receive structure education andor discipline pertain specifically profession","36"
"individual accept one prove hisher competence demand field","37"
"student nyucd like imagine approach definition professional progress tier dental school","38"
"excite important dynamic influence patient life serve vital component path healthy lifestyle","39"
"grow dentist influential image dentistry","40"
"interaction comfort approach treatment define think dentistry still describe day","41"
"love talk school sport tv show ever ask open mouth","42"
"know set tooth name chart","43"
"look forward provide future patient similar experience","44"
"look forward develop knowledge skill necessary assure patient receive good quality care","45"
"throughout next year envision mold competent healthcare provider","46"
"hope build professional relationship colleague faculty","47"
"time nyucd opportunity good prepare demand dentistry need patient","48"
"dentistry evolve field excite part will offer near come future","49"
"many decision will lead dilemma future want practice honest way","50"
"know isnt much room procrastinate dental school go try study go note every day semester","51"
"ive hear pull allnighters good idea remind become lazy","52"
"want develop regular sleep pattern can go class use time wisely awake","53"
"little stress go face next four year feel responsibility learn now","54"
"think good little bite stress study participate lab will try overwhelm","55"
"will start clinic couple month really want someone can truly sympathize patient","56"
"will try good competent dentist","57"
"year learn much yet know theres come","58"
"just hope can bare workload","59"
"choose become dentist even start undergrad happy","60"
"finally stage get learn practical knowledge nyucd feel responsible understand apply knowledge","61"
"information receive lecture lab will essential future practice just want keep workload","62"
"interest go pediatric dentistry will try really hard get want","63"
"love school diverse student body hope can make lot friend","64"
"pretty excite start new phase life just want make","65"
"feel though grow ethical take professionalism ethic interact colleague professor","66"
"learn various ethical dilemma may face decide treatment plan patient take account need will simultaneously aid business","67"
"matter learn putting patient need first way sustain lifelong patient base know can trust care","68"
"now year time reflect experience feel though grow professional good learn interact colleague respectful professional manner","69"
"please study go able good balance study free time","70"
"hope can keep positive energy matriculate have aim spend time lab work technique apply various dental procedure will learn","71"
"although much growth achieve within next year feel though make progress become professional","72"
