X1,NETID,RefType,Date,Time,Text,DYear
1,QRWhtutU,Public Self Reflection,06-07-15 20:39,20.65,"Dentistry is one of the few professions that requires not only the high practical prowess but also moral and ethical standards. There are several factors that make a dentist a good professional but I believe one of the most important things for a professional is to be independent and proficient in their job. In other words, professionals should be consistent and punctual. In addition, it is important to follow the rules and regulation to prevent reckless and nefarious malpractices. However, this does not mean that one should be stagnant and passive in their profession. Rather, I believe it is important for professional to actively seek out for improvements and advancements. This can be achieved through working, discussing and researching issues with different professionals in various different fields in the profession. Moreover, it is important for professionals to have appropriate moral and ethical standards. I believe these are some of the factors that are crucial in becoming a good professional.",D2L
2,QRWhtutU,Public Personal,06-07-15 20:39,20.65,"Ever since I realized that dentistry is one of the few professions that seamlessly blend both artistry and science, I was fascinated by it. It is, thus natural, that I have vast interest in becoming an orthodontist. However, I would like to be exposed to a various different dental specialties not only through school curriculum but also through community outreach and volunteer service. As a dental student, I would like to graduate dental school in good standing with proficiency in general dentistry. As a health care professional, I would like to learn not only the technical skills but also the interpersonal skills to have fulfilling relationships with various different patients. I realize this skill would require me to uphold my ethical principles as well as the rules and regulation at all times. Moreover, I hope that I would be more open-minded and bold in making decisions. In addition, I would like to have a good lifelong relationship with my peers in both private and professional environment.",D2L
3,Rgwz95M=,Professional Progress,5/25/2015 21:23,21.38333333,"Going from D1 to D2, felt like night and day.  D2 started off very similar to D1 in terms of course load and simulation lab requirements.  However, once February 2015 came, it felt like there was a never-ending parade of competencies, practicals and exams.  Through all of this, I felt like my knowledge base has grown significantly.  I especially liked the simulation lab courses of CR1 and CR2, where I learned more complex tooth preparations and restorations, as well as how to properly produce a CD as well as various RPDs. Over the course of the D2 year, I feel that my drilling and restorative abilities have continued to significantly improved, especially to the point where I feel very comfortable if I had to utilize any of these techniques on my future patients.  I am very excited, as well as nervous, to be entering clinic, but I feel it will be a fun challenge. The knowledge that I gained from my first 2 years will definitely be a building block for my future courses and hopefully will stick with me as I wait to take the NBDE I in August.",D2L
4,UMXIJMd9,Private Personal,6/13/2015 18:47,18.78333333,"In my public statement I said I want to fix people's faces. I know that sounds kind of vague, and I haven't found a better way to express that just yet, but what I mean is to fix whatever facial deformities or defects that are present. My pre-dental society in undergrad would have dental health professionals speak every week and I remember one in particular where he should photos of people that had to wear facial prosthetics to cover what were essentially parts of their face or jaw missing. At the time I thought the very fact a prosthodontist could make something and give it to the patient to wear was amazing. But what I really want to do is go one step beyond that and make wearing the prosthetic unnecessary. Facial reconstruction is I think the coolest thing. From what I know I think leans heavily toward OMS and bigger hospital surgeries which I rather prefer than private practice. When we talk about improving quality of life, I believe there is no greater way to increase that than down this path.",D2L
5,UMXIJMd9,Public Self Reflection,6/13/2015 18:47,18.78333333,"In undergrad, I was a Human Biology major, but I also minored in Philosophy. One particular article sticks out in my mind whenever I think of professionalism and what it means. The article talked about ""civic professionalism"" and how there is an inherent contract, or trust, between the public and the professional. And moreover, we as professionals should give back to the community for without the community providing patients how would we have learned our craft. I think that as I progress throughout dental school this will become more relevant and I know whatever opportunity I have to give back or do a community outreach I will try my best to make it happen. What's the point of having these skills if we don't try to use them to promote the greatest degree of quality life we can.",D2L
6,UMXIJMd9,Public Personal,6/13/2015 18:47,18.78333333,"My journey to dental school has left me with a number of experiences that have shaped not only the type of dentist I want to be, but also how I view the relationship between one's oral health and their quality of life. I've worked with dental professionals from around the United States, Mexico, and Australia and have a strong sense of what I want to get out of dentistry -- I simply want to be able to fix people's faces. To me,  a person's face is their most important feature giving them the self-confidence to go out and interact with the world. Now what path this aim of mine takes me down from here on out I don't know, but what I do know is that throughout all the pitfalls I've overcome I will not lose sight of my goal. I feel privileged to be apart of this great profession.",D2L
7,USOSSVQW,Ethic Reflection,06-02-15 20:03,20.05,"Many decisions will lead to dilemmas in the future, but I want to practice in an honest way.",D2L
8,USOSSVQW,Private Personal,06-02-15 20:03,20.05,"I know that there isn't much room to procrastinate in dental school, so I am going to try to study and go over the notes every day this semester. I've heard that pulling all-nighters is not a good idea, so I should remind myself not to become lazy. I want to develop a regular sleeping pattern so that I can go to classes and use my time wisely when I am awake. I am a little stressed about what I am going to face over the next four years, but I feel more responsibility in what I learn and do now. I think it's good to have a little bit of stress as I study and participate in labs, but I will try not to be too overwhelmed.",D2L
9,USOSSVQW,Private Self Reflection,06-02-15 20:03,20.05,"I will be starting clinics in couple months, and I really want to be someone who can truly sympathize with his patients.",D2L
10,USOSSVQW,Public Self Reflection,06-02-15 20:03,20.05,I will try my best to be a competent dentist.,D2L
11,USOSSVQW,Professional Progress,06-02-15 20:04,20.06666667,"This year I have learned so much, yet I know that there's more to come. I just hope that I can bare with all the workload.",D2L
12,USOSSVQW,Public Personal,06-02-15 20:03,20.05,"I chose to become a dentist even before I started my undergrad, and I am very happy to be here. I am finally at a stage where I get to learn the ""practical"" knowledge here at NYUCD, and I feel more responsible for understanding and applying the knowledge. All the information I receive in lectures and labs will be essential for my future practice, and I just want to keep up with the workload. I am interested in going into pediatric dentistry, so I will have to try really hard to get where I want to be. I love how our school has a very diverse student body, and I hope I can make a lot of friends. I am pretty excited to start a new phase in my life, and I just want to make the most out of it.",D2L
13,V0VP/rn7,Ethic Reflection,06-05-15 22:16,22.26666667,"Patient care should always be the practitioners number one priority. Financial gain should never be the driving force for the practitioners services. Being competent in ones field, also means knowing when to seek help from other practitioners.",D2L
14,V0VP/rn7,Public Self Reflection,06-05-15 22:16,22.26666667,A professional is an individual who practices their profession not only in the workplace but their profession is their way of life. They follow a set role of ethics and will oblige by it for the betterment of the community.,D2L
15,V0VP/rn7,Public Personal,06-05-15 22:15,22.25,"I hope to acquire the knowledge to become a dental practitioner, but to also gain the skill set which will allow me to become more competent as a professional. Furthermore, I would like to grow as an ethical individual and be able to provide care to the community by using my acquired knowledge in the dental field. I hope to continue my education post dental school and stay current with my approaches.",D2L
16,V1QEKxzg,Public Personal,06-04-15 18:35,18.58333333,"A person's smile is arguably their most important feature.  It is a way to express happiness, show kindness, and has the ability to improve one's own, or even someone else's mood. I believe that being a dentist and giving someone the confidence of a great smile is a highly rewarding and satisfying job that I hope to become competent in over the next four years. This not only includes completing the course work, but also pushing myself to study and learn outside the boundaries of the curriculum to become a health care professional that is able to cooperate and coordinate with others. One thing that I have learned about dental school is that you only get out of it what you put into it, and I want to put my best effort into it. I hope to become a dentist with an influence that is larger than the confines of the office, and is highly involved in local and regional outreach programs.",D2L
17,W8PVb/U=,Private Self Reflection,06-01-15 9:50,9.833333333,The road towards becoming a professional is a never ending one. I think that I will always find myself in that road looking towards becoming a better professional than what I was yesterday. The word professional contains many principles inside and with the beginning  of the third year I will get to live by these principles on an every day bases.,D2L
18,W8PVb/U=,Professional Progress,06-01-15 9:03,9.05,I perceive professional progress as putting behind your fears  and trusting your professional knowledge. I saw that in myself that first time i grabbed that hand piece to do a class 4 restoration.,D2L
19,W8SAe9w=,Ethic Reflection,06-01-15 14:16,14.26666667,"Ethics and integrity in the dental profession is a major issue. The public unfortunately continues to be sensitive about  professionals who have not cared for people in need, misused the healthcare payment system through overcharging, and provided care for personal benefit over the patients benefit. In all healthcare fields including dentistry, higher accreditation standards for education in ethics have been implemented.",D2L
20,XAVu+kSR,Public Personal,5/29/2015 8:56,8.933333333,"A professional healthcare provider isn't just someone who provides the treatments, but someone who understands and exhibits the importance of building genuine relationships with their patients, community, and colleagues.  There is a wide range of reasons on why people choose to go into healthcare, but I find my personal passion to serve and contribute what I can offer as my drive to become a competent provider.  I simply just love to help others in any way possible, with my best skill set stemming from my manual dexterity.  Serving even my peers brings me joy, so I will continue to strive my best to seek as much wisdom and advice to provide the best quality care.  I am a firm believer in caring for others with a generous and compassionate heart.  There is no reward from ""giving"" with a heart of expecting something in return.  I have come far but still have a long road ahead of me before I become the professional I expect myself to be.  I have faith, patience, and perseverance that it will happen little by little.",D2L
1,QRN/WS47,Ethic Reflection,03-04-15 17:40,17.66666667,"Our ethics competency really got me thinking about how to handle some situations that may come up in clinic.  Our exam dealt with a student who needs credit for his patient complying with plaque control with a patient who refuses to comply.  The dilema was to let someone else clean their teeth professionally before the patient comes in so it appears that they have been persuaded into doing it themselves.  

There are certainly going to be stressful times in clinic where the credit for completing a treatment versus the wellbeing of the patient cause an ethical dilemma.  I think I would be willing to put the patient first.",D2L
2,QRN/WS47,Private Self Reflection,03-04-15 17:37,17.61666667,It is a little nerveracking entering the clinic and dealing with real patients.  I need to be sure to put patients first and not do anything that would compromise their health such as staying up late studying when I have an early appointment and wouldn't be fully alert when performing an operation.,D2L
3,QRN/WS47,Public Self Reflection,03-04-15 17:36,17.6,Dental school has been a grueling process this year.  I am excited to be near to entering clinic and being able to put some of the didactic skills in use to diagnosing and recognizing different oral diseases.  I am also excited to be able to apply the hand skills I have been learning on real patients.  At this point in my education I am much more accountable for any errors I may make in clinic as I am dealing with other's health and wellbeing.,D2L
4,QRN/WS47,Professional Progress,03-04-15 17:40,17.66666667,It's amazing how fast school is going and how we are almost ready to see patients.  I am excited to put my knowledge and skills to work.,D2L
5,Rwn3c4BL,Ethic Reflection,03-04-15 19:47,19.78333333,"After almost completing my second year of dental school, my fellow colleagues and I worked together in our professionalism and ethics in healthcare course to develop core values in which our class aspires to embody.  Some believe that our core values should be innate, however, I believe it was important to restate these values as many of us can easily neglect them.  It was important for us to work together because as aspiring dentists, these ethical values hold an important part of our foundation as a dentist.  Examples of our core values include acting with integrity and honesty, demonstrating professionalism, serving others, being patient-centered, embracing excellence, creating and fostering a collaborative learning environment, and valuing diversity.",D2L
6,Rwn3c4BL,Public Self Reflection,03-04-15 19:47,19.78333333,"Being a professional requires many characteristics, many of which I was able to develop through my experiences in the first two years of dental school.  I believe that two important cores are your knowledge in the basic sciences and your ethical and moral behavior.  The former is necessary because without a solidified background regarding these sciences, one may not be able to deliver proper oral healthcare.  The first year covered many courses, such as anatomy, physiology, and neuroscience.  The second year covered more pathology and diagnosis of certain oral conditions.  Becoming a professional does not occur overnight; it is a step-by-step process.  I am eager to continue this foundation in order to become the professional I need to be after completing my second year in dental school.",D2L
7,Rwn3c4BL,Professional Progress,03-04-15 19:48,19.8,"After almost completing my second year of dental school, I can see a dramatic increase in my professionalism.  Being exposed to the professional world of dentistry has allowed me to assimilate into the profession, as well as understand the characteristics that is required of me as a professional.  I have learned more information in fundamental science courses that will allow me to build on this foundation of mine in order to best delivery proper oral healthcare.  Part of being a professional is understanding the complexity of information that is required; my second year courses has allowed me to progress in this manner, especially developed through examinations and quizzes.",D2L
8,Rwn3c4BL,Public Personal,03-04-15 19:46,19.76666667,"I am almost finished with my second year of dental school.  I have continued to study more basic science courses and feel more confident in fields of science.  My foundation of knowledge is becoming more solidified as my education continues. I have also began working in clinic, which gives me a great initial experience before I continue seeing patients. I hope to further enhance my personal and interpersonal skills as my dental school career continues.",D2L
9,S4Eko2Y=,Ethic Reflection,22-03-15 14:56,14.93333333,"Making ethical decisions and maintaining a standard of ethics throughout dental school and throughout the rest of my life is extremely important to me. There have been times when I have had to face ethical dilemmas in and out of school in these past two years, and the ethics classes that we have had have taught me how to critically resolve such ethical issues.",D2L
10,S4Eko2Y=,Professional Progress,22-03-15 14:48,14.8,"Now that I am almost halfway through dental school, I believe I am ready to start seeing patients in clinic and be able to perform simulated procedures that we have done in lab on actual people. All the classes that I have taken so far have allowed me to think and work like a clinician and through all the lab work that I have learned and practiced for, I believe I have the manual dexterity to do some basic operative procedures on patients.",D2L
11,S4Eko2Y=,Public Personal,02-04-15 21:13,21.21666667,"My individual goals include improving myself academically, professionally, and socially. In regards to my academics, I would like to be competent and proficient in the scientific knowledge that I will eventually need to use and to excel in all my classes. I would also like to master the manual dexterity and patient care that is required of dentistry. Outside of academics, I would aim to establish a balance between schoolwork and my social life and to be as happy and as mentally sound as possible. Professionally, I want to build long-lasting meaningful relationships with my classmates as well as faculty members.

Now that I am almost halfway through with dental school, my individual goals have not changed and I am continuing to accomplish them day by day. I feel that I have maintained a good balance between keeping up with schoolwork and maintaining friendships and relationships outside of school.",D2L
12,S4soV89A,Private Personal,02-04-15 23:31,23.51666667,I hope to exude more confidence to become a responsible and professionally competent dentist once I leave NYUCD. I believe that mannerism and appearance is important in how the public views not only NYUCD but the dental profession as a whole.  I hope to also carry on the NYUCD mission goal of community service even when I graduate and give back to the community. I hope to also build lifelong relationships among my peers and colleagues as I continue through the rest of my dental school career.,D2L
13,S4soV89A,Private Self Reflection,02-04-15 23:28,23.46666667,"After my first year at NYUCD, I am realizing that becoming a professional is more than just having hand dexterity skills in bench lab and didactic knowledge, but also being morally and ethically competent.
Just a few months ago this year, we had a White Coat Ceremony that marked our transition into clinics later this year. It really dawned on me how we would be viewed as a healthcare professional as we start working in the clinic.",D2L
